ADEN,Year,Scott #,,,,,,
,1937,7 OR 9,,,,,,
,,,,,,,,
AFGHANISTAN,,,,,,,,
,1927,227,228,,,,,
,1928-29,241,OR 243,OR 244,OR 245,OR 255,OR 256,
,1932-38,269,273,,,,,
,,270,271,272,274,,,
,,263,264,275,276,315,,
,1939,317,,,,,,
,,,,,,,,
AGUERA,,,,,,,,
,1922,14,15,16,17,18,19,20
,,,,,,,,
AITUTAKI,,,,,,,,
,1903,4,,,,,,
,1917-20,21,22,23,26,,,
,1920-27,30,31,32,,,,
,,,,,,,,
ALAOUITES,,,,,,,,
,1925,26,28,31,33,,,
,,37,,,,,,
,,43,,,,,,
Air Mails,,,,,,,,
,1929-30,C21,,,,,,
Postage Due,,,,,,,,
,1925,J9,,,,,,
,,,,,,,,
ALBANIA,,,,,,,,
,1921,130,,,,,,
,1925,190,,,,,,
,1927,201,,,,,,
,1928,231,238 or 239,,,,,
,1935,261,262,263,264,265,266,267
,1937,272,273,274,275,,,
,1938,284,286,287,288,,,
,,291,292,293,294,295,,
,,296,297,,,,,
Postage Due,,,,,,,,
,1930,J35,J36,J37,J38,,,
Air Mails,,,,,,,,
,1925,C5,,,,,,
,1930,C31,C32,,,,,
Ital Occ,,,,,,,,
,1939,299,300,301,302,304,,
,1940,312,317,,,,,
,,319,320,,,,,
spec del,,,,,,,,
,1940,E1,E2,,,,,
air,,,,,,,,
,1939,C43,C44,C45,C46,,,
,1940,C47,C48,C49,,,,
,,C50,C51,C52,C53,,,
p.d.,,,,,,,,
,1940,J40,J41,J42,J43,J44,,
,,,,,,,,
ALEXANDRETTA,,,,,,,,
,1938,1,4,,,,,
,,5,6,10,12,,,
,,,,,,,,
ALGERIA,,,,,,,,
,1924,2,3,7,9,,,
,1925-26,11,16,,,,,
,1927,68,70,71,72,73,74,
,1927-30,57,60,,,,,
,1937,119,120,,,,,
,1938,121,,,,,,
,1937,111,,,,,,
,1939,126,127,129,130,,,
Semi Postal,,,,,,,,
,1930,B14,B15,B16,B17,,,
,,B20,B18,B19,B21,,,
,1939,B28,B29,B30,B31,,,
,1940,B32,B33,B34,B35,,,
Postage Due,,,,,,,,
,1926,J3 or J6 or J8,,,,,,
,1926-7,J16,J17,,,,,
,,,,,,,,
ALLENSTEIN,,,,,,,,
,1920,1,2,3,6,7,,
,plebiscite,8,9,10,11,,,
,,12,13,,,,,
,versaille,15,16,17,18,19,20,21
,,22,23,24,25,,,
,,26,27,28,,,,
,,,,,,,,
ANDORRA,,,,,,,,
,1928,1,2,3,4,5,6,7
,,8,,,,,,
spanish,1929,13,14,15,16,17,18,19a or 19
,,20,,,,,,
french,1931,3,4,5,6,7,8,
,1932-39,27,28,29,31,46a,,
,,,,,,,,
ANGOLA,,,,,,,,
,1894,30a or 30 or 30b or 30c,25 or 25a or 25b,,,,,
,1902,83,84,85,,,,
,1903,42,,,,,,
,1911,88,90,91,92,94,95,
,1912,104,106,107,108,109,,
,1913,124,125,,,,,
,1922,158i,,,,,,
,,145,149,,,,,
,1925-26,i58q,158t,158u,158x,158z,159d,
,1932,250,,,,,,
,1938,278,,,,,,
Air Mails,,,,,,,,
,1938,C1,C3,C4,,,,
Postage Due,,,,,,,,
,1904,J1,J2,J3,,,,
,1911,J11,J12,J13,J14,,,
Postal Tax Due,,,,,,,,
,1925,RAJ1,RAJ2,RAJ3,,,,
,,,,,,,,
ANGRA,,,,,,,,
,1896-99,14,15 or 15b,16,18,,,
,,,,,,,,
ANJOUAN,,,,,,,,
,1892,1,2,3,,,,
,1912,20,21,22,23,,,
,,,,,,,,
ANTIGUA,,,,,,,,
,1908-12,23,24,,,,,
,1921-22,59,,,,,,
jubilee,1935,80,,,,,,
,1938,88,,,,,,
,,,,,,,,
ARGENTINA,,,,,,,,
