Germany,Year,,,,,,,,
,1872,7,,,,,,,
,1872,23,26,,,,,,
,1875-77,33,,,,,,,
np,1900,62,63,,,,,,
np,1920,116,117,,,,,,
,1923,302,305,,,,,,
,,306,309,311,,,,,
,,314 or 320,316,319,320,,,,
Air Mails,,,,,,,,,
,1922-23,C3,C6,,,,,,
,1924,C20,C21,C22,,,,,
Semi-postal,,,,,,,,,
,1919,B1,,,,,,,
,1928,B23,B24,,,,,,
,1931,B38,B39,,,,,,
,1932,B42,,,,,,,
,1932,B44,,,,,,,
np,1939,B144,,,,,,,
,1939-40,B140,B170,,,,,,
Officials,,,,,,,,,
,1923,O40,O42,O43,O44,,,,
,1924,O52,O60,O61,,,,,
np,1927-28,O75,,,,,,,
,1930-34,O71,,,,,,,
Occupation,,,,,,,,,
,1919-21,IN3,IN4,IN5,IN6,,,,
,,IN7,IN8,IN10,IN11,,,,
,1920-21,IN18,IN19,IN20,,,,,
,,IN42,IN43,IN44,IN45,IN49,,,
Postage Due,,,,,,,,,
,1920,INJ3,INJ36,INJ37,INJ38,,,,
Polish Occ.,,,,,,,,,
,1919,72,73,74,75,76,,,
Off. China,,,,,,,,,
,1898,1,2,3,6,,,,
,1900,24,25,26,29,,,,
,1905-12,37 or 47,38 or 48,39,40,41,51,52,
Off. Morocco,,,,,,,,,
,1899,1,2,3,6,,,,
,1900,7,9,10,12,,,,
,1905-11,22,23,24,25 or 37,26,,,
,1911,45,46,47,48,49,50,51,
German East Africa,,,,,,,,,
,1896,6,7,8,9,,,,
,1900,11,13,14,,,,,
,1906-15,31,32,33,25,35,36,37,
Occupation,,,,,,,,,
,1916,N1,N2,N3,(N4),(N5),,,
Semi-postal,,,,,,,,,
,1918,NB1,NB2,NB3,(NB4),(NB5),,,
Brit Occ,,,,,,,,,
,1917,N109,N110,N111,N112,N113,,,
,,,,,,,,,
German New Guinea,,,,,,,,,
,1897,1,2,3,4,,,,
,1900,7,8,9,10,,,,
,,11,12,13,14,15,16,,
,,,,,,,,,
German Southwest Africa,,,,,,,,,
,1897-99,1,2 or 8,3,4 or 10,(7 or 9 or 12),,,
,1900-13,13 or 26,14 or 27,15,17,18,19,20,
,,,,,,,,,
North German Confederation,,,,,,,,,
,1868-69,1b or 1,2 or 14,6 or 18,7 or 19,,,,
,,8 or 20 ,10 or 22,11 or 23,,,,,
Official,,,,,,,,,
,1868-69,O2,O4,O5,,,,,
,,,,,,,,,
Baden,,,,,,,,,
,1868,26,,,,,,,
,1905,OL17,OL18,OL19,OL20,,,,
,,,,,,,,,
Bavaria,,,,,,,,,
,1849-62,5,,,,,,,
,1870-73,26 or 26b,27,,,,,,
,1890-1900,66,,,,,,,
,1911,81,,,,,,,
,,82,,,,,,,
,,87,89,,,,,,
,1914,108,110,111,,,,,
,1919,117,,,,,,,
,1919,122,124,125,126,127,128,129,
,,130,132,133,134,135,,,
,,142,,,,,,,
,,143,145,146,149,,,,
,,150,151,152,153,154,155,,
,,156,157,158,160,161,162,,
,1919,163,164,165,166,167,168,169,
,,170,171,172,173,174,175,,
,,181,,,,,,,
,,183,184,185,186,187,,,
,,184,190,191,,,,,
