NATAL,,,,,,,,
,1859-76,8 or 10 or 14 or 15,,13 or 16 or 9 or 11 or 12,,,,
,1902-08,83,,,,,,
,,84 or 103,85,86,89,110,88 or 105,90 or 106
Official,,,,,,,,
,1904,O1,O2,O3,,,,
,,,,,,,,
NAURU,,,,,,,,
,1915-16,2,4,6,7,8,9,
,1924,20,21,,,,,
,1935,31,32,33,34,,,
,,,,,,,,
NEDJ -> HEJAZ,,,,,,,,
,,,,,,,,
NEPAL,,,,,,,,
,1881-99,1 or 4 or 7 or 13 or 18,,2 or 5 or 8 or 14 or 19,,3 or 6 or 9,,
,1899-1900,12,,,,,,
,1931-24,34,,,,,,
,,,,,,,,
NETHERLANDS,,,,,,,,
,1864,5,,,,,,
,1869-71,21,,,,,,
,1888,24,32,,,,,
,1896,52,,,,,,
,1913,93,94,95,96,,,
Air Mail,,,,,,,,
,1931,C9,,,,,,
Postage Due,,,,,,,,
,1907,J29,J30,J31,J32,J33,,
,1881-1920,J46,J47,J48,J50,,,
,,J52,J53,J54,J56,J57,J59,
,1921-30,J64,J67,,,,,
,1906,J28,,,,,,
,1908,J42,,,,,,
,1924,J76,J77,J78,J79,,,
Semi Postal,,,,,,,,
,1927,B21,B22,B23,B24,,,
,1930,B44,B45,,,,,
,1931,B48,B49,B50,B51,B52,,
,1933,B62,B63,B64,B65,,,
,1935,B81,,,,,,
,1937,B94,B96,B97,,,,
